entry_date,exit_date,ticker,combo,ff,contracts,cost_per_contract,pnl,ret_pct
2025-07-18,2025-08-07,ABT,21-42,0.1329461472013178,10,275.59999999999997,-1961.9999999999998,-0.711901306240929
2025-07-02,2025-08-14,MU,44-79,0.04212696754617662,10,499.6,2252.999999999999,0.4509607686148917
2025-07-11,2025-08-14,DAL,35-70,0.06456220686333847,10,251.1,997.9999999999998,0.39745121465551564
2025-07-11,2025-08-14,STZ,35-70,0.025372786306900652,10,492.0999999999999,2183.0000000000023,0.4436090225563915
2025-07-16,2025-08-14,JPM,30-65,0.013869467067048946,10,629.6,3302.9999999999995,0.5246188055908513
2025-07-17,2025-08-14,JBL,29-64,0.03391135829805392,10,729.6000000000003,3107.9999999999964,0.4259868421052625
2025-07-17,2025-08-14,CCL,29-64,0.01730209824304585,10,129.10000000000002,332.9999999999998,0.25793958171959697
2025-07-17,2025-08-14,WFC,29-64,0.005683333176934369,10,199.60000000000002,533.0000000000001,0.26703406813627256
2025-07-17,2025-08-14,C,29-64,0.0030756895908179427,10,265.09999999999997,1163.0000000000007,0.4387023764617129
2025-07-17,2025-08-21,PGR,36-64,0.01490158441934386,10,484.6,1683.0000000000002,0.3472967395790343
2025-07-24,2025-08-21,URI,29-57,0.0977487435413662,10,2534.6000000000004,9407.999999999996,0.37118282963781246
2025-07-24,2025-08-28,AXP,36-57,0.11169443040174576,10,582.1000000000001,-206.99999999999915,-0.03556090018897081
2025-07-24,2025-09-04,VZ,43-85,0.2771386589592122,10,176.1,-736.9999999999992,-0.41851220897217445
2025-08-07,2025-09-04,ANET,29-50,0.13113008957352323,10,527.0999999999999,1108.0000000000011,0.21020679188009891
2025-08-07,2025-09-04,NSC,29-50,0.10721746156760892,10,437.1,633.0000000000007,0.14481811942347306
2025-08-07,2025-09-04,NKE,29-50,0.10351366666782202,10,222.6,-1.9999999999999574,-0.000898472596585785
2025-08-14,2025-09-04,V,22-43,0.06976819705082438,10,543.1000000000001,1372.9999999999973,0.25280795433621744
2025-08-14,2025-09-11,MCD,29-64,0.11472508501819156,10,654.1,588.0000000000008,0.08989451154257772
2025-08-14,2025-09-11,META,29-64,0.07697261602833838,10,2522.1,-241.9999999999993,-0.009595178620990416
2025-08-28,2025-09-11,DECK,15-43,0.21913892813290992,10,632.1000000000001,732.9999999999985,0.11596266413542135
2025-07-24,2025-09-18,EFX,57-85,0.09233984146704888,10,494.6000000000001,4382.999999999999,0.8861706429437927
2025-08-07,2025-09-18,PG,43-71,0.11764869001928568,10,349.1000000000001,-332.00000000000045,-0.09510169006015479
2025-08-07,2025-09-18,MRNA,43-71,0.09721011874494101,10,176.60000000000002,457.99999999999994,0.2593431483578708
2025-08-14,2025-09-18,BX,36-64,0.16122187581222747,10,528.1,-412.0000000000001,-0.07801552736224202
2025-08-14,2025-09-18,XYL,36-64,0.13907453903417144,10,242.10000000000005,1007.9999999999995,0.4163568773234198
2025-08-14,2025-09-18,IT,36-64,0.10740771488890744,10,874.6000000000001,2207.9999999999964,0.25245826663617604
2025-08-14,2025-09-18,MSCI,36-64,0.07319223152190424,10,1164.6,2608.0,0.22393955006010646
2025-08-21,2025-09-18,MCO,29-57,0.1361313258359147,10,1149.5999999999997,-5566.999999999999,-0.4842553931802367
2025-09-04,2025-09-18,GNRC,15-50,0.21909003702303864,10,1179.6,-2067.0000000000005,-0.17522889114954227
2025-08-07,2025-09-25,HUM,50-71,0.1489823039143956,10,794.6000000000003,9533.000000000002,1.1997231311351622
2025-08-07,2025-09-25,MSFT,50-71,0.09695066107687822,10,659.5999999999999,1393.0000000000011,0.2111885991510008
2025-08-14,2025-09-25,FOXA,43-64,0.08469065917193941,10,139.6,632.9999999999998,0.4534383954154726
2025-08-21,2025-09-25,PANW,36-57,0.15453978136869617,10,444.6000000000001,-1347.0000000000002,-0.3029689608636977
2025-09-04,2025-09-25,UNH,22-50,0.23023145272192358,10,1697.1,-10681.999999999998,-0.6294266690236284
2025-09-04,2025-09-25,FTNT,22-50,0.20124686776800904,10,405.1000000000001,-1056.9999999999998,-0.26092322883238694
2025-09-04,2025-09-25,BA,22-50,0.18226369538626397,10,1018.1,-4131.999999999998,-0.4058540418426479
2025-09-04,2025-10-02,NOW,29-50,0.17635285098302567,10,3134.6,9508.000000000002,0.3033241880941748
2025-09-18,2025-10-02,ETN,15-43,0.1449898556419169,10,1409.5999999999997,4733.000000000002,0.3357690124858118
2025-09-18,2025-10-02,ON,15-43,0.07489379506750526,10,318.6000000000001,-877.0000000000009,-0.27526679221594497
2025-09-18,2025-10-02,MCHP,15-43,0.07278103667574509,10,379.6000000000001,282.9999999999993,0.07455216016859832
2025-09-18,2025-10-02,ANET,15-43,0.06717506130185358,10,832.1,2032.999999999999,0.24432159596202369
2025-09-11,2025-10-09,UBER,29-50,0.24784566836221433,10,364.1,297.9999999999999,0.08184564680032955
2025-09-11,2025-10-09,EXPE,29-50,0.24567019738843254,10,649.6,627.9999999999999,0.09667487684729062
2025-09-11,2025-10-09,QCOM,29-50,0.16136319181946757,10,456.1,1237.999999999999,0.2714317035737775
2025-09-18,2025-10-09,ABNB,22-43,0.1526483052135863,10,366.1,-321.9999999999998,-0.08795411089866151
2025-09-18,2025-10-09,CRM,22-43,0.05562902572744188,10,597.1,5303.0,0.8881259420532575
2025-09-18,2025-10-09,ORCL,22-43,0.05231497359063697,10,1284.6,6867.999999999999,0.5346411334267476
